disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Sciatica,pain along sciatic nerve path,shooting pain from lower back down the leg,pain from hip to calf or foot,pain worsening on sitting,tingling in leg,,,
Hyperlipidaemia,usually asymptomatic,xanthomas (fatty deposits under skin),abdominal pain (pancreatitis if very high triglycerides),corneal arcus,xanthelasmas (around eyes),,,
Food Poisoning,headache,diarrhoea,nausea,dehydration,fever,weakness,vomiting,blood in stool (severe)
Common Cold,watery eyes,malaise,nasal congestion,sore throat,mild cough,headache,,
Dengue Fever,severe headache,nausea,chills,fatigue,muscle pain,skin rash,joint pain,low platelet count
HIV Infection,diarrhoea,sore throat,fever,flu-like illness (acute),opportunistic infections (advanced),,,
Chronic Kidney Disease,poor appetite,fatigue,confusion (late stage),nausea,,,,
Gonorrhoea,vaginal discharge,pus-like urethral discharge,often asymptomatic in women,painful urination,,,,
Common Cold,headache,sore throat,malaise,watery eyes,,,,
Hepatitis B,right upper quadrant discomfort,fatigue,abdominal pain,dark urine,fever,jaundice,vomiting,
Hypertension,headache,blurred vision,ringing in ears,often asymptomatic,,,,
Hepatitis C,jaundice,nausea,fever,dark urine,,,,
Anaemia,chest pain,irregular heartbeat,poor concentration,fatigue,,,,
Meningitis,severe headache,non-blanching rash (meningococcal),nausea,seizures,altered mental state,sensitivity to sound,high fever,
Coronary Artery Disease,palpitations,chest tightness,pain radiating to arm/jaw,fatigue,nausea,chest pain (angina),sweating,
Neonatal Jaundice,poor feeding,yellow soles of feet,yellowing of whites of eyes,yellow skin (jaundice) first appearing on face,excessive sleepiness,dark urine,pale stools,
Scabies,burrow tracks in skin,pimple-like rash,sores from scratching,itching between fingers,intense itching (worse at night),crust formation (Norwegian scabies),,
Cholecystitis,right upper quadrant abdominal pain,jaundice (if bile duct blocked),fever,vomiting,pain after fatty meal,,,
Type 2 Diabetes,darkened skin in armpits,increased thirst,blurred vision,weight loss,frequent urination,increased hunger,numbness in feet,slow-healing wounds
Carpal Tunnel Syndrome,pain radiating up forearm,symptoms relieved by shaking hand,pain in wrist and hand,dropping objects,,,,
Carpal Tunnel Syndrome,pain radiating up forearm,dropping objects,tingling and numbness in thumb and fingers,weakness of grip,symptoms worse at night,symptoms relieved by shaking hand,pain in wrist and hand,
HIV Infection,fatigue,night sweats,swollen lymph nodes,weight loss,fever,opportunistic infections (advanced),flu-like illness (acute),sore throat
Coronary Artery Disease,palpitations,nausea,fatigue,sweating,,,,
Preeclampsia,nausea,headache,decreased urine output,oedema,upper right abdominal pain,proteinuria,,
Parkinson's Disease,shuffling gait,writing changes,bradykinesia (slow movement),loss of automatic movements,resting tremor,,,
Retinal Detachment,loss of central vision (macula detachment),floaters,sudden blurred vision,curtain shadow over vision,,,,
Pneumonia,chest pain on breathing,productive cough,shortness of breath,chills,rapid breathing,fatigue,sweating,
Autism Spectrum Disorder,avoidance of eye contact,delayed speech,repetitive behaviours,sensory sensitivities,difficulty with change in routine,restricted interests,,
Pelvic Inflammatory Disease,irregular menstrual bleeding,vaginal discharge,fever,pain during intercourse,vomiting,nausea,,
Tetanus,fever,jaw stiffness (trismus/lockjaw),spasms triggered by noise or touch,sweating,,,,
Pulmonary Fibrosis (Idiopathic),dry cough,inspiratory crackles,reduced exercise tolerance,progressive breathlessness,clubbing of fingers,fatigue,weight loss,
Hepatitis B,joint pain,fatigue,fever,jaundice,vomiting,,,
Stroke,loss of balance,sudden severe headache,dizziness,speech difficulty,sudden facial drooping,vision problems,arm weakness (one side),
Peptic Ulcer,pain relief after eating (duodenal),pain worsening after eating (gastric),nausea,vomiting,belching,dark/tarry stools,,
Preeclampsia,visual disturbances,nausea,decreased urine output,oedema,proteinuria,,,
Pulmonary Embolism,leg swelling (DVT source),chest pain worsening with breathing,low oxygen saturation,cough with blood,rapid heartbeat,anxiety,sudden shortness of breath,dizziness
Pulmonary Embolism,dizziness,sudden shortness of breath,cough with blood,low oxygen saturation,,,,
Sciatica,pain along sciatic nerve path,pain from hip to calf or foot,numbness in leg or foot,pain worsening on sitting,,,,
Alzheimer's Disease,language difficulty,misplacing items,memory loss affecting daily function,mood and personality changes,withdrawal from social activities,,,
Malignant Melanoma,evolving mole,changing mole (ABCDE criteria),diameter >6 mm,new pigmented skin lesion,asymmetric mole,bleeding mole,irregular border mole,itching mole
Oral Candidiasis (Thrush),loss of taste,white patches in mouth,cotton-like sensation in mouth,soreness inside mouth,redness at corners of mouth (angular cheilitis),difficulty swallowing,,
Atrial Fibrillation,dizziness,palpitations,irregular heartbeat,fatigue,,,,
Pulmonary Fibrosis (Idiopathic),clubbing of fingers,weight loss,inspiratory crackles,dry cough,progressive breathlessness,fatigue,reduced exercise tolerance,
Neonatal Jaundice,pale stools,excessive sleepiness,dark urine,yellowing of whites of eyes,,,,
Hypo-thyroidism,puffiness of face,fatigue,slow heart rate,memory impairment,cold intolerance,,,
Bronchitis,wheezing,mild fever,cough with mucus,chills,low-grade fever,shortness of breath,sore throat,
Crohn's Disease,fever,blood in stool,fatigue,perianal fistula,mouth sores,abdominal pain (right lower),reduced appetite,nausea
HIV Infection,opportunistic infections (advanced),night sweats,fatigue,flu-like illness (acute),swollen lymph nodes,weight loss,rash,
Eczema (Atopic Dermatitis),thickened skin,sleep disturbance due to itching,dry skin,red rash,rash on inner elbows and knees,weeping and crusting,intense itching,
Cholecystitis,Murphy's sign positive,pain after fatty meal,jaundice (if bile duct blocked),fever,right upper quadrant abdominal pain,chills,,
Glaucoma,blurred vision,nausea,eye pain,halos around lights,gradual peripheral vision loss,,,
Addison's Disease,salt craving,fatigue,nausea,weight loss,abdominal pain,vomiting,muscle weakness,
Onychomycosis (Nail Fungus),nails separating from nail bed,white spots under nail,brittle or crumbly nails,distorted nail shape,foul odour,thickened nails,,
Haemorrhoids,discomfort sitting,prolapse of haemorrhoid,itching around anus,swelling around anus,leakage of faeces,,,
Allergic Rhinitis,runny nose,fatigue,itchy nose,sneezing,nasal congestion,loss of smell,,
Tuberculosis,loss of appetite,fever,chronic productive cough,night sweats,chest pain,,,
Chronic Kidney Disease,shortness of breath,itching,decreased urine output,fatigue,confusion (late stage),nausea,,
Sickle Cell Disease,fatigue,swollen hands and feet (dactylitis),vision problems,acute chest syndrome,delayed growth,frequent infections,"painful crises (bones, chest, joints)",
Eczema (Atopic Dermatitis),intense itching,rash on inner elbows and knees,red rash,sensitive skin,dry skin,weeping and crusting,thickened skin,sleep disturbance due to itching
Conjunctivitis,red eyes,discharge from eyes,itching eyes,burning sensation,,,,
Macular Degeneration (AMD),dark or empty area in centre of vision,faded colours,needing more light,visual distortion (straight lines appear wavy),one eye affected initially,,,
Malignant Melanoma,changing mole (ABCDE criteria),multiple colours in mole,new pigmented skin lesion,evolving mole,itching mole,asymmetric mole,irregular border mole,bleeding mole
Celiac Disease,weight loss,anaemia,fatigue,mouth ulcers,abdominal bloating,diarrhoea,,
Haemophilia A,blood in urine,spontaneous joint bleeds,internal bleeding,joint pain and swelling,,,,
Syphilis,rash on palms and soles,hair loss,headache,fatigue,,,,
Ulcerative Colitis,rectal bleeding,fatigue,rectal pain,joint pain (extra-intestinal),,,,
Generalized Anxiety Disorder,difficulty controlling worry,irritability,muscle tension,fatigue,concentration difficulty,restlessness,"physical symptoms (headache, GI complaints)",
Sleep Apnea,irritability,excessive daytime sleepiness,loud snoring,morning headache,dry mouth on waking,difficulty concentrating,,
Obsessive-Compulsive Disorder,hoarding,distress when rituals interrupted,time-consuming rituals,excessive checking,fear of contamination,symmetry concerns,repetitive behaviours (compulsions),recurrent unwanted thoughts (obsessions)
Fibromyalgia,bowel problems,widespread musculoskeletal pain,tender points,depression,,,,
Tetanus,fever,rapid heartbeat,sweating,spasms triggered by noise or touch,jaw stiffness (trismus/lockjaw),muscle spasms,muscle stiffness,
Sleep Apnea,excessive daytime sleepiness,witnessed apnoea,frequent night awakenings,loud snoring,dry mouth on waking,,,
Kidney Stones,chills,frequent urination,burning urination,blood in urine,fever (if infected),,,
Varicose Veins,itching around veins,muscle cramping in legs,visible twisted and bulging veins,burning or throbbing in legs,skin discolouration,,,
Pulmonary Embolism,anxiety,cough with blood,dizziness,fainting,,,,
Generalized Anxiety Disorder,excessive worry,sleep disturbance,"physical symptoms (headache, GI complaints)",muscle tension,difficulty controlling worry,,,
Heart Failure,shortness of breath,rapid weight gain,swollen ankles and legs,orthopnoea (breathlessness lying flat),reduced exercise tolerance,fatigue,paroxysmal nocturnal dyspnoea,
Glaucoma,tunnel vision (late),gradual peripheral vision loss,blurred vision,halos around lights,eye pain,nausea,,
Dengue Fever,severe headache,joint pain,mild bleeding gums,skin rash,loss of appetite,vomiting,,
Scoliosis,abnormal curvature of spine sideways,uneven shoulders,uneven waist,one hip higher than other,back pain,,,
COVID-19,shortness of breath,fever,loss of taste,body aches,loss of smell,dry cough,fatigue,
Acromegaly,headache,joint pain,body odour,excessive sweating,enlarged tongue,facial feature changes (enlarged jaw/brow),,
Narcolepsy,excessive daytime sleepiness,hypnagogic hallucinations,sleep paralysis,sudden muscle weakness (cataplexy),,,,
Kawasaki Disease,swollen hands and feet,rash on trunk,high fever lasting more than 5 days,red cracked lips,swollen lymph nodes in neck,peeling skin on fingers,strawberry tongue,
Hemochromatosis,hypogonadism,abdominal pain,joint pain,fatigue,diabetes symptoms,heart problems,impotence,
Heat Stroke,confusion or altered consciousness,core body temperature >40°C,rapid heartbeat,headache,hot dry skin (no sweating),rapid breathing,nausea,
Raynaud's Disease,skin colour changes triggered by cold or stress,fingers or toes turning white then blue then red on cold exposure,pain on rewarming,numbness and tingling in fingers,cold fingers and toes,,,
Scoliosis,uneven shoulders,difficulty breathing (severe curves),back pain,rib prominence on one side,,,,
Osteoarthritis,reduced range of motion,bony growths at joint,joint stiffness (especially morning),joint pain worsening with activity,fatigue,tenderness on joint pressure,crackling or grating sound,joint swelling
Premenstrual Syndrome,headache,irritability,mood swings,fatigue,concentration difficulty,food cravings,breast tenderness,depression
Tetanus,sweating,rapid heartbeat,difficulty swallowing,spasms triggered by noise or touch,fever,jaw stiffness (trismus/lockjaw),,
Acne Vulgaris,nodules,papules,oily skin,redness around spots,pustules,scarring,cysts,
Polycystic Kidney Disease,headache,kidney failure (late),blood in urine (haematuria),high blood pressure,abdominal fullness,back or flank pain,,
Polycystic Ovary Syndrome,ovarian cysts on ultrasound,irregular periods,weight gain,difficulty getting pregnant,thinning scalp hair,excess body hair (hirsutism),mood changes,
Heat Stroke,rapid heartbeat,nausea,confusion or altered consciousness,seizures,loss of consciousness,,,
Tetanus,neck stiffness,sweating,muscle spasms,muscle stiffness,fever,jaw stiffness (trismus/lockjaw),spasms triggered by noise or touch,
Heat Stroke,core body temperature >40°C,confusion or altered consciousness,rapid breathing,rapid heartbeat,hot dry skin (no sweating),seizures,headache,
Hepatitis A,low-grade fever,nausea,vomiting,fatigue,abdominal pain,pale stools,jaundice,
Plantar Fasciitis,pain after prolonged standing,pain decreasing after walking but returning after rest,heel pain (especially first steps in morning),tenderness at heel bone base,,,,
Hepatitis A,vomiting,dark urine,loss of appetite,abdominal pain,jaundice,low-grade fever,,
Nephrotic Syndrome,low albumin,foamy urine (proteinuria),reduced urine output,severe oedema (swelling),loss of appetite,fatigue,high cholesterol,
Breast Cancer,skin dimpling,breast pain,nipple inversion,breast lump,thickening of breast tissue,swollen lymph nodes in armpit,,
Schizophrenia,disorganized speech,agitation,negative symptoms (flat affect),social withdrawal,disorganized thinking,cognitive impairment,hallucinations (hearing voices),
Anorexia Nervosa,amenorrhoea,hair thinning,extreme thinness,bone weakness,cold intolerance,intense fear of weight gain,distorted body image,
Hearing Loss,turning up TV volume,trouble hearing high-pitched sounds,tinnitus,dizziness,ringing in ears,difficulty understanding speech,muffled sounds,
Fatty Liver Disease (NAFLD),right upper abdominal discomfort,usually asymptomatic,elevated liver enzymes,elevated cholesterol,abdominal fullness,,,
Cirrhosis,weakness,ascites,easy bruising/bleeding,jaundice,fatigue,loss of appetite,,
Addison's Disease,low blood pressure,abdominal pain,salt craving,dizziness,hyperpigmentation (bronze skin),weight loss,depression,
Gout,redness of joint,tophi under skin (chronic),tenderness,warmth of joint,joint pain at night,,,
Chronic Fatigue Syndrome,profound fatigue lasting >6 months,orthostatic intolerance,pain,unrefreshing sleep,,,,
Rotator Cuff Injury,shoulder pain worsening with arm raising,reduced range of motion,difficulty reaching behind back,pain at night (lying on affected side),clicking or popping in shoulder,,,
Sinusitis,cough,fatigue,thick nasal discharge,toothache,nasal congestion,facial pain or pressure,headache,post-nasal drip
Schizophrenia,delusions,disorganized speech,cognitive impairment,disorganized thinking,social withdrawal,,,
Appendicitis,pain starting around navel migrating to right lower abdomen,rigidity of abdomen,nausea,loss of appetite,fever,rebound tenderness at McBurney's point,constipation or diarrhoea,vomiting
Epilepsy,uncontrolled jerking movements,automatic movements (lip smacking),staring spell,deja vu sensation,recurring seizures,temporary confusion,post-ictal confusion,fear or anxiety aura
Major Depressive Disorder,suicidal thoughts,hopelessness,persistent sadness,fatigue,,,,
Pancreatitis,vomiting,abdominal distension,jaundice (if bile duct affected),abdominal tenderness,pain worsening after eating,nausea,severe upper abdominal pain radiating to back,rapid heart rate
Amyotrophic Lateral Sclerosis,muscle weakness starting in limbs or speech,difficulty breathing,muscle twitching,slurred speech,muscle cramps,difficulty swallowing,,
Common Cold,headache,sore throat,loss of smell,watery eyes,mild fever,nasal congestion,runny nose,
Syphilis,painless genital sore (chancre),headache,fever,swollen lymph nodes,neurological symptoms (late),muscle aches,sore throat,fatigue
Acromegaly,body odour,enlarged tongue,facial feature changes (enlarged jaw/brow),sleep apnoea,vision problems,,,
Nephrotic Syndrome,loss of appetite,severe oedema (swelling),fatigue,high cholesterol,foamy urine (proteinuria),low albumin,weight gain from fluid,reduced urine output
Autism Spectrum Disorder,avoidance of eye contact,difficulty with change in routine,communication challenges,repetitive behaviours,sensory sensitivities,delayed speech,restricted interests,
Pulmonary Embolism,sudden shortness of breath,cough with blood,anxiety,low oxygen saturation,fainting,,,
Carpal Tunnel Syndrome,symptoms relieved by shaking hand,dropping objects,pain radiating up forearm,pain in wrist and hand,tingling and numbness in thumb and fingers,,,
Malignant Melanoma,multiple colours in mole,evolving mole,diameter >6 mm,irregular border mole,new pigmented skin lesion,,,
Portal Hypertension,oesophageal varices,jaundice,encephalopathy,anaemia,bleeding from varices,splenomegaly,dilated abdominal veins,
Crohn's Disease,diarrhoea,reduced appetite,abdominal pain (right lower),fatigue,nausea,fever,blood in stool,perianal fistula
Haemophilia A,internal bleeding,prolonged bleeding after surgery or dental work,excessive bleeding from minor cuts,bruising easily,spontaneous joint bleeds,joint pain and swelling,blood in urine,
Preeclampsia,decreased urine output,visual disturbances,upper right abdominal pain,headache,nausea,,,
Cholera,sudden vomiting,shock,muscle cramps,dry mouth,profuse watery diarrhoea (rice-water stools),,,
Neonatal Jaundice,dark urine,yellow soles of feet,yellow skin (jaundice) first appearing on face,poor feeding,excessive sleepiness,yellowing of whites of eyes,pale stools,
Raynaud's Disease,skin colour changes triggered by cold or stress,numbness and tingling in fingers,pain on rewarming,cold fingers and toes,,,,
Kawasaki Disease,high fever lasting more than 5 days,peeling skin on fingers,rash on trunk,strawberry tongue,swollen hands and feet,red eyes (conjunctivitis),,
Anaemia (Iron Deficiency),dizziness,headache,fatigue and weakness,restless legs,pica (craving non-food items),brittle nails,fast heartbeat,pallor
Influenza,severe headache,body aches,sudden high fever,sneezing,,,,
Gestational Diabetes,diagnosed via glucose tolerance test in pregnancy,often asymptomatic,increased thirst,blurred vision,,,,
Parkinson's Disease,postural instability,loss of automatic movements,depression,bradykinesia (slow movement),speech changes,,,
Heart Failure,shortness of breath,reduced exercise tolerance,swollen ankles and legs,rapid weight gain,fatigue,paroxysmal nocturnal dyspnoea,orthopnoea (breathlessness lying flat),
Onychomycosis (Nail Fungus),distorted nail shape,white spots under nail,yellow-brown discolouration,foul odour,,,,
Hypothermia,slow shallow breathing,loss of coordination,loss of consciousness (severe),drowsiness,slurred speech,confusion,shivering (mild),weak pulse
Rotator Cuff Injury,difficulty reaching behind back,reduced range of motion,clicking or popping in shoulder,shoulder pain worsening with arm raising,weakness in shoulder,,,
Asthma,chronic cough,wheezing,cough at night,mucus production,,,,
Raynaud's Disease,skin colour changes triggered by cold or stress,numbness and tingling in fingers,cold fingers and toes,fingers or toes turning white then blue then red on cold exposure,pain on rewarming,,,
Hyperthyroidism,sweating,rapid heartbeat,fatigue,diarrhoea,increased appetite,,,
Acute Respiratory Distress Syndrome,confusion,low oxygen levels,rapid breathing,hypoxaemia despite oxygen,cyanosis,bilateral lung infiltrates on X-ray,severe breathlessness,
Oral Candidiasis (Thrush),cotton-like sensation in mouth,loss of taste,white patches in mouth,difficulty swallowing,,,,
Urinary Tract Infection,cloudy urine,lower abdominal pain,frequent urination,urgency to urinate,chills,fever,,
Septic Shock,organ dysfunction,rapid heart rate,cold clammy skin,extremely low blood pressure,rapid breathing,confusion,,
Rabies,paralysis,fever,hydrophobia (fear of water),hallucinations,aerophobia,pain or tingling at bite site,,
Cervical Cancer,bleeding after intercourse,pelvic pain,pain during intercourse,post-menopausal bleeding,back or leg pain (advanced),abnormal vaginal bleeding,,
Amyotrophic Lateral Sclerosis,slurred speech,muscle cramps,muscle twitching,difficulty breathing,,,,
Dehydration,dark urine,confusion (severe),rapid heartbeat,decreased urine output,headache,,,
Cholera,dry mouth,muscle cramps,sunken eyes,reduced skin turgor,,,,
Typhoid Fever,constipation or diarrhoea,loss of appetite,abdominal pain,cough,,,,
Post-Traumatic Stress Disorder,concentration difficulty,nightmares,irritability,emotional numbness,sleep disturbances,hypervigilance,exaggerated startle response,flashbacks
Cystic Fibrosis,persistent cough with thick mucus,salty-tasting skin,digestive problems,fatty stools,frequent lung infections,poor growth,clubbing of fingers,
Gonorrhoea,sore throat (pharyngeal),often asymptomatic in women,vaginal discharge,pus-like urethral discharge,pelvic pain (women),testicular pain (men),painful urination,rectal pain
Breast Cancer,redness of breast skin,thickening of breast tissue,skin dimpling,nipple discharge,,,,
Muscular Dystrophy (Duchenne),respiratory failure (late),Gowers' sign,progressive muscle weakness (proximal first),calf pseudohypertrophy,frequent falls,learning difficulties,,
Cholecystitis,Murphy's sign positive,pain after fatty meal,jaundice (if bile duct blocked),right upper quadrant abdominal pain,vomiting,pain radiating to right shoulder,fever,
COVID-19,loss of taste,loss of smell,chest tightness,headache,dry cough,,,
Cholera,reduced skin turgor,sudden vomiting,rapid dehydration,muscle cramps,dry mouth,profuse watery diarrhoea (rice-water stools),shock,
Hypothermia,loss of consciousness (severe),loss of coordination,drowsiness,rigid muscles,shivering (mild),,,
Bronchitis,shortness of breath,cough with mucus,sore throat,low-grade fever,mild fever,chills,fatigue,
Thalassemia (Beta),bone deformities,enlarged liver and spleen,severe anaemia,jaundice,frequent infections,,,
Anorexia Nervosa,amenorrhoea,distorted body image,intense fear of weight gain,fatigue,dizziness,,,
Anaemia,cold hands and feet,irregular heartbeat,shortness of breath,pallor (pale skin),headache,fatigue,brittle nails,chest pain
Polycythemia Vera,blurred vision,blood clots,weight loss,redness of face,large spleen,sweating,headache,fatigue
Pulmonary Embolism,low oxygen saturation,sudden shortness of breath,leg swelling (DVT source),fainting,anxiety,rapid heartbeat,,
Stroke,sudden facial drooping,numbness one side of body,difficulty walking,arm weakness (one side),loss of balance,,,
Post-Traumatic Stress Disorder,flashbacks,sleep disturbances,avoidance of trauma reminders,nightmares,irritability,exaggerated startle response,hypervigilance,
Colon Cancer,weakness and fatigue,feeling that bowel doesn't empty completely,cramping,abdominal pain,,,,
Onychomycosis (Nail Fungus),nails separating from nail bed,brittle or crumbly nails,foul odour,yellow-brown discolouration,distorted nail shape,white spots under nail,thickened nails,
COVID-19,fever,diarrhoea,shortness of breath,fatigue,chest tightness,,,
Peptic Ulcer,pain relief after eating (duodenal),pain worsening after eating (gastric),bloating,weight loss,belching,vomiting,,
Eczema (Atopic Dermatitis),red rash,rash on inner elbows and knees,thickened skin,sleep disturbance due to itching,dry skin,,,
Schizophrenia,cognitive impairment,negative symptoms (flat affect),delusions,poor personal hygiene,agitation,hallucinations (hearing voices),disorganized speech,
Alcohol Use Disorder,giving up activities,inability to limit drinking,tolerance (needing more),continued use despite consequences,,,,
Plantar Fasciitis,tenderness at heel bone base,pain after prolonged standing,heel pain (especially first steps in morning),stiffness in foot,pain decreasing after walking but returning after rest,,,
COVID-19,headache,fever,body aches,chest tightness,dry cough,loss of smell,fatigue,sore throat
Crohn's Disease,abdominal pain (right lower),diarrhoea,weight loss,fatigue,fever,perianal fistula,blood in stool,mouth sores
Chronic Obstructive Pulmonary Disease,cyanosis (late),fatigue,weight loss,shortness of breath on exertion,,,,
Gout,warmth of joint,limited range of motion,swelling of affected joint,tophi under skin (chronic),,,,
Autism Spectrum Disorder,repetitive behaviours,communication challenges,sensory sensitivities,avoidance of eye contact,,,,
Scabies,pimple-like rash,itching between fingers,sores from scratching,burrow tracks in skin,,,,
Sickle Cell Disease,stroke symptoms,vision problems,swollen hands and feet (dactylitis),fatigue,,,,
Raynaud's Disease,fingers or toes turning white then blue then red on cold exposure,cold fingers and toes,skin colour changes triggered by cold or stress,pain on rewarming,,,,
Hyperthyroidism,nervousness,weight loss,heat intolerance,diarrhoea,fatigue,,,
Amyotrophic Lateral Sclerosis,muscle cramps,difficulty breathing,difficulty swallowing,slurred speech,,,,
Epiglottitis,drooling,difficulty swallowing,rapidly worsening sore throat,muffled voice ('hot potato' voice),anxiety/agitation,stridor,,
Addison's Disease,hyperpigmentation (bronze skin),dizziness,low blood pressure,nausea,fatigue,abdominal pain,weight loss,
Sinusitis,fatigue,facial pain or pressure,nasal congestion,loss of smell,,,,
Muscular Dystrophy (Duchenne),learning difficulties,respiratory failure (late),cardiomyopathy,waddling gait,difficulty walking,progressive muscle weakness (proximal first),,
Cataract,fading colours,frequent changes in glasses prescription,halos around lights,poor night vision,double vision in one eye,cloudy or blurred vision,sensitivity to light and glare,
Retinal Detachment,visual field loss,sudden flashes of light,sudden blurred vision,floaters,curtain shadow over vision,loss of central vision (macula detachment),,
Gastritis,nausea,belching,upper abdominal pain,feeling of fullness,vomiting,loss of appetite,,
Hyperthyroidism,increased appetite,heat intolerance,diarrhoea,nervousness,rapid heartbeat,sweating,,
Sickle Cell Disease,swollen hands and feet (dactylitis),fatigue,acute chest syndrome,delayed growth,"painful crises (bones, chest, joints)",,,
Cushing Syndrome,high blood sugar,weight gain (central obesity),stretch marks (purple striae),moon face,,,,
Amyotrophic Lateral Sclerosis,slurred speech,unintentional weight loss,emotional lability,progressive paralysis,muscle cramps,difficulty swallowing,,
Insomnia,non-restorative sleep,concentration difficulty,difficulty staying asleep,anxiety about sleep,,,,
Stroke,vision problems,loss of balance,sudden facial drooping,numbness one side of body,,,,
Ulcerative Colitis,weight loss,rectal bleeding,joint pain (extra-intestinal),bloody diarrhoea,fatigue,anaemia,fever (in flares),rectal pain
Ulcerative Colitis,anaemia,weight loss,urgency to defecate,rectal bleeding,fever (in flares),joint pain (extra-intestinal),rectal pain,
Heat Stroke,rapid breathing,confusion or altered consciousness,core body temperature >40°C,hot dry skin (no sweating),loss of consciousness,rapid heartbeat,headache,
Eczema (Atopic Dermatitis),sleep disturbance due to itching,intense itching,sensitive skin,weeping and crusting,dry skin,,,
Hemochromatosis,heart problems,bronze skin discolouration,fatigue,joint pain,,,,
Fatty Liver Disease (NAFLD),elevated cholesterol,abdominal fullness,fatigue,right upper abdominal discomfort,enlarged liver,elevated liver enzymes,usually asymptomatic,
Pneumonia,bluish lips,chest pain on breathing,sweating,productive cough,shortness of breath,chills,rapid breathing,fever
Colon Cancer,unexplained weight loss,blood in stool,iron deficiency anaemia,change in bowel habits,weakness and fatigue,rectal bleeding,,
Malignant Melanoma,asymmetric mole,new pigmented skin lesion,diameter >6 mm,multiple colours in mole,changing mole (ABCDE criteria),itching mole,,
Gastritis,dark stools,belching,indigestion,bloating,,,,
Hypertension,often asymptomatic,nosebleed,palpitations,chest pain,fatigue,blurred vision,shortness of breath,ringing in ears
Appendicitis,pain starting around navel migrating to right lower abdomen,fever,rebound tenderness at McBurney's point,rigidity of abdomen,nausea,loss of appetite,constipation or diarrhoea,
Athlete's Foot (Tinea Pedis),itching and burning between toes,cracking and peeling skin,blisters on foot,scaly rash between toes,dry flaky skin on sole,,,
Ringworm (Tinea Corporis),hair loss in patches (scalp),patches on scalp (tinea capitis),red borders of rash,expanding ring over time,ring-shaped scaly patches,,,
Colon Cancer,abdominal pain,cramping,feeling that bowel doesn't empty completely,unexplained weight loss,change in bowel habits,,,
Chronic Fatigue Syndrome,profound fatigue lasting >6 months,cognitive impairment,pain,orthostatic intolerance,flu-like symptoms,post-exertional malaise,,
Hypertension,nosebleed,blurred vision,fatigue,headache,palpitations,ringing in ears,,
Myocardial Infarction,shortness of breath,dizziness,palpitations,nausea,,,,
Kawasaki Disease,strawberry tongue,high fever lasting more than 5 days,red cracked lips,rash on trunk,swollen lymph nodes in neck,,,
Chronic Myeloid Leukemia,fever,weight loss,bone pain,easy bruising,fatigue,splenomegaly,,
Rotator Cuff Injury,clicking or popping in shoulder,weakness in shoulder,shoulder pain worsening with arm raising,difficulty reaching behind back,,,,
Anaemia,poor concentration,cold hands and feet,shortness of breath,fatigue,chest pain,irregular heartbeat,brittle nails,pallor (pale skin)
Bulimia Nervosa,use of laxatives or diuretics,calluses on knuckles,electrolyte imbalances,fasting after binges,swollen cheeks,teeth enamel erosion,episodes of binge eating,
Type 2 Diabetes,frequent urination,slow-healing wounds,frequent infections,blurred vision,fatigue,darkened skin in armpits,increased hunger,
Osteoporosis,loss of height over time,stooped posture,fractures with minor trauma,back pain from fractured vertebra,often asymptomatic until fracture,,,
Cholera,low blood pressure,sudden vomiting,dry mouth,shock,sunken eyes,muscle cramps,,
Kidney Stones,severe flank pain,blood in urine,cloudy urine,chills,burning urination,nausea,fever (if infected),frequent urination
Appendicitis,vomiting,pain starting around navel migrating to right lower abdomen,constipation or diarrhoea,loss of appetite,nausea,rigidity of abdomen,,
Premenstrual Syndrome,depression,fatigue,headache,sleep disturbances,irritability,breast tenderness,food cravings,
Psoriasis,shedding skin,nail pitting,burning sensation,thick silvery scales on skin,,,,
Pulmonary Embolism,anxiety,low oxygen saturation,cough with blood,leg swelling (DVT source),sudden shortness of breath,chest pain worsening with breathing,dizziness,
Coronary Artery Disease,fatigue,dizziness,shortness of breath on exertion,pain radiating to arm/jaw,chest tightness,chest pain (angina),,
Panic Disorder,racing heart,nausea,dizziness,chest pain,sweating,sudden intense fear,fear of dying,trembling
Bipolar Disorder,low mood and hopelessness (depression),psychosis (severe mania),grandiosity,episodes of mania (elevated mood),episodes of depression,reduced need for sleep (mania),impulsive behaviour,
Insomnia,early morning awakening,irritability,difficulty staying asleep,concentration difficulty,non-restorative sleep,,,
Portal Hypertension,ascites (fluid in abdomen),anaemia,dilated abdominal veins,bleeding from varices,,,,
Hearing Loss,turning up TV volume,difficulty understanding speech,asking others to repeat,ringing in ears,dizziness,trouble hearing high-pitched sounds,,
Raynaud's Disease,cold fingers and toes,numbness and tingling in fingers,fingers or toes turning white then blue then red on cold exposure,skin colour changes triggered by cold or stress,pain on rewarming,,,
Tuberculosis,fatigue,weight loss,loss of appetite,chronic productive cough,fever,chest pain,night sweats,
Food Poisoning,dehydration,blood in stool (severe),nausea,abdominal cramps,weakness,muscle aches,headache,vomiting
Chickenpox,rash starts on trunk spreads to face and limbs,itchy blister rash,spots that become blisters then crust,fatigue,loss of appetite,headache,fever,malaise
Myocardial Infarction,palpitations,chest pain radiating to left arm,loss of consciousness,sweating,,,,
